Treatment,Module,Eigenvalue,,MEmagenta,MEturquoise,MEgreen,MEred,MEyellow,MEblue,MEpink,MEblack,MEbrown,MEgrey
Mono_Cont,1,-0.322511237,,-0.153849481,0.269139069,-0.165772574,0.023798428,-0.259642657,-0.081750441,-0.397923553,-0.322511237,-0.343569425,-0.591786565
Mono_Cont,1,0.495139185,,-0.037856909,-0.101295053,0.024270643,-0.29793911,0.83305381,-0.16264996,0.140488333,0.495139185,0.484461627,0.071521379
Mono_Cont,1,-0.261373325,,0.330825008,0.193767387,-0.159553521,-0.073368342,0.157849586,-0.295681743,-0.16478499,-0.261373325,-0.080366051,-0.247149245
Poly_Cont,1,-0.235962901,,-0.1767552,0.246935662,0.03655986,0.10222009,-0.316633565,-0.091904979,-0.172934243,-0.235962901,-0.275607784,-0.23622385
Poly_Cont,1,0.168022818,,0.239202226,-0.157065472,-0.067737557,-0.280266298,-0.062753362,0.11921958,-0.170466787,0.168022818,0.069002886,0.495370428
Poly_Cont,1,-0.178589108,,0.134596143,-0.320771459,0.737257811,0.878140354,-0.057157975,0.052900089,0.123755126,-0.178589108,0.267639907,-0.031247135
Mono_Pest,1,-0.230249601,,-0.169710492,0.249659225,-0.216340211,0.035103783,-0.227929293,-0.11286614,-0.336203175,-0.230249601,-0.301990806,-0.203353834
Mono_Pest,1,0.054356076,,-0.323337801,0.056328284,-0.005689061,-0.0479518,-0.160606836,0.042549163,0.224493507,0.054356076,-0.082254983,-0.040105125
Mono_Pest,1,0.564185696,,-0.431617573,-0.75143339,0.375898062,-0.106551468,0.002711878,0.865628899,0.534014781,0.564185696,0.564194999,0.136706042
Poly_Pest,1,0.21150074,,-0.239765424,0.151935929,-0.450155062,0.004703135,-0.094113774,0.06915385,-0.262486196,0.21150074,-0.267177058,-0.01506629
Poly_Pest,1,-0.211980391,,0.553293691,0.192587587,-0.066870778,-0.087704493,0.057511152,-0.244019471,0.032697142,-0.211980391,-0.007347883,0.309901055
Poly_Pest,1,-0.052537951,,0.274975811,-0.029787769,-0.04186761,-0.15018428,0.127711036,-0.160578845,0.449350053,-0.052537951,-0.026985429,0.351433139
Mono_Cont,2,-0.081750441,,,,,,,,,,,
Mono_Cont,2,-0.16264996,,,,,,,,,,,
Mono_Cont,2,-0.295681743,,,,,,,,,,,
Poly_Cont,2,-0.091904979,,,,,,,,,,,
Poly_Cont,2,0.11921958,,,,,,,,,,,
Poly_Cont,2,0.052900089,,,,,,,,,,,
Mono_Pest,2,-0.11286614,,,,,,,,,,,
Mono_Pest,2,0.042549163,,,,,,,,,,,
Mono_Pest,2,0.865628899,,,,,,,,,,,
Poly_Pest,2,0.06915385,,,,,,,,,,,
Poly_Pest,2,-0.244019471,,,,,,,,,,,
Poly_Pest,2,-0.160578845,,,,,,,,,,,
Mono_Cont,3,-0.343569425,,,,,,,,,,,
Mono_Cont,3,0.484461627,,,,,,,,,,,
Mono_Cont,3,-0.080366051,,,,,,,,,,,
Poly_Cont,3,-0.275607784,,,,,,,,,,,
Poly_Cont,3,0.069002886,,,,,,,,,,,
Poly_Cont,3,0.267639907,,,,,,,,,,,
Mono_Pest,3,-0.301990806,,,,,,,,,,,
Mono_Pest,3,-0.082254983,,,,,,,,,,,
Mono_Pest,3,0.564194999,,,,,,,,,,,
Poly_Pest,3,-0.267177058,,,,,,,,,,,
Poly_Pest,3,-0.007347883,,,,,,,,,,,
Poly_Pest,3,-0.026985429,,,,,,,,,,,
Mono_Cont,4,-0.165772574,,,,,,,,,,,
Mono_Cont,4,0.024270643,,,,,,,,,,,
Mono_Cont,4,-0.159553521,,,,,,,,,,,
Poly_Cont,4,0.03655986,,,,,,,,,,,
Poly_Cont,4,-0.067737557,,,,,,,,,,,
Poly_Cont,4,0.737257811,,,,,,,,,,,
Mono_Pest,4,-0.216340211,,,,,,,,,,,
Mono_Pest,4,-0.005689061,,,,,,,,,,,
Mono_Pest,4,0.375898062,,,,,,,,,,,
Poly_Pest,4,-0.450155062,,,,,,,,,,,
Poly_Pest,4,-0.066870778,,,,,,,,,,,
Poly_Pest,4,-0.04186761,,,,,,,,,,,
Mono_Cont,5,-0.591786565,,,,,,,,,,,
Mono_Cont,5,0.071521379,,,,,,,,,,,
Mono_Cont,5,-0.247149245,,,,,,,,,,,
Poly_Cont,5,-0.23622385,,,,,,,,,,,
Poly_Cont,5,0.495370428,,,,,,,,,,,
Poly_Cont,5,-0.031247135,,,,,,,,,,,
Mono_Pest,5,-0.203353834,,,,,,,,,,,
Mono_Pest,5,-0.040105125,,,,,,,,,,,
Mono_Pest,5,0.136706042,,,,,,,,,,,
Poly_Pest,5,-0.01506629,,,,,,,,,,,
Poly_Pest,5,0.309901055,,,,,,,,,,,
Poly_Pest,5,0.351433139,,,,,,,,,,,
Mono_Cont,6,-0.153849481,,,,,,,,,,,
Mono_Cont,6,-0.037856909,,,,,,,,,,,
Mono_Cont,6,0.330825008,,,,,,,,,,,
Poly_Cont,6,-0.1767552,,,,,,,,,,,
Poly_Cont,6,0.239202226,,,,,,,,,,,
Poly_Cont,6,0.134596143,,,,,,,,,,,
Mono_Pest,6,-0.169710492,,,,,,,,,,,
Mono_Pest,6,-0.323337801,,,,,,,,,,,
Mono_Pest,6,-0.431617573,,,,,,,,,,,
Poly_Pest,6,-0.239765424,,,,,,,,,,,
Poly_Pest,6,0.553293691,,,,,,,,,,,
Poly_Pest,6,0.274975811,,,,,,,,,,,
Mono_Cont,7,-0.397923553,,,,,,,,,,,
Mono_Cont,7,0.140488333,,,,,,,,,,,
Mono_Cont,7,-0.16478499,,,,,,,,,,,
Poly_Cont,7,-0.172934243,,,,,,,,,,,
Poly_Cont,7,-0.170466787,,,,,,,,,,,
Poly_Cont,7,0.123755126,,,,,,,,,,,
Mono_Pest,7,-0.336203175,,,,,,,,,,,
Mono_Pest,7,0.224493507,,,,,,,,,,,
Mono_Pest,7,0.534014781,,,,,,,,,,,
Poly_Pest,7,-0.262486196,,,,,,,,,,,
Poly_Pest,7,0.032697142,,,,,,,,,,,
Poly_Pest,7,0.449350053,,,,,,,,,,,
Mono_Cont,8,0.023798428,,,,,,,,,,,
Mono_Cont,8,-0.29793911,,,,,,,,,,,
Mono_Cont,8,-0.073368342,,,,,,,,,,,
Poly_Cont,8,0.10222009,,,,,,,,,,,
Poly_Cont,8,-0.280266298,,,,,,,,,,,
Poly_Cont,8,0.878140354,,,,,,,,,,,
Mono_Pest,8,0.035103783,,,,,,,,,,,
Mono_Pest,8,-0.0479518,,,,,,,,,,,
Mono_Pest,8,-0.106551468,,,,,,,,,,,
Poly_Pest,8,0.004703135,,,,,,,,,,,
Poly_Pest,8,-0.087704493,,,,,,,,,,,
Poly_Pest,8,-0.15018428,,,,,,,,,,,
Mono_Cont,9,0.269139069,,,,,,,,,,,
Mono_Cont,9,-0.101295053,,,,,,,,,,,
Mono_Cont,9,0.193767387,,,,,,,,,,,
Poly_Cont,9,0.246935662,,,,,,,,,,,
Poly_Cont,9,-0.157065472,,,,,,,,,,,
Poly_Cont,9,-0.320771459,,,,,,,,,,,
Mono_Pest,9,0.249659225,,,,,,,,,,,
Mono_Pest,9,0.056328284,,,,,,,,,,,
Mono_Pest,9,-0.75143339,,,,,,,,,,,
Poly_Pest,9,0.151935929,,,,,,,,,,,
Poly_Pest,9,0.192587587,,,,,,,,,,,
Poly_Pest,9,-0.029787769,,,,,,,,,,,
Mono_Cont,10,-0.259642657,,,,,,,,,,,
Mono_Cont,10,0.83305381,,,,,,,,,,,
Mono_Cont,10,0.157849586,,,,,,,,,,,
Poly_Cont,10,-0.316633565,,,,,,,,,,,
Poly_Cont,10,-0.062753362,,,,,,,,,,,
Poly_Cont,10,-0.057157975,,,,,,,,,,,
Mono_Pest,10,-0.227929293,,,,,,,,,,,
Mono_Pest,10,-0.160606836,,,,,,,,,,,
Mono_Pest,10,0.002711878,,,,,,,,,,,
Poly_Pest,10,-0.094113774,,,,,,,,,,,
Poly_Pest,10,0.057511152,,,,,,,,,,,
Poly_Pest,10,0.127711036,,,,,,,,,,,
